string,number,diameter,tension,unit-weight,description
E,1,0.0280,15.3,0.00002092,EJ45
B,2,0.0322,11.6,0.00002827,EJ45
G,3,0.0403,12.1,0.00004679,EJ45
D,4,0.029,15.6,0.00010754,EJ45
A,5,0.035,15.0,0.00018416,EJ45
E,6,0.043,14.0,0.00030632,EJ45
E,1,0.0280,16.23,0.00002092,EJ45-New
B,2,0.0322,12.04,0.00002827,EJ45-New
G,3,0.0403,11.88,0.00004679,EJ45-New
D,4,0.029,15.62,0.00010754,EJ45-New
A,5,0.035,15.89,0.00018416,EJ45-New
E,6,0.043,14.19,0.00030632,EJ45-New
E,1,0.0285,16.81,0.00002161,EJ46
B,2,0.0327,12.42,0.00002924,EJ46
G,3,0.0410,12.30,0.00004795,EJ46
D,4,0.030,16.24,0.00011237,EJ46
A,5,0.036,16.96,0.00019521,EJ46
E,6,0.044,15.21,0.00031726,EJ46
E,1,0.0290,17.41,0.00002243,EJ44
B,2,0.0333,12.88,0.00003046,EJ44
G,3,0.0416,12.66,0.00004989,EJ44
D,4,0.030,16.24,0.00011237,EJ44
A,5,0.036,16.96,0.00019521,EJ44
E,6,0.045,15.66,0.00034351,EJ44
